"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"3";"";"6410-4P";"6410-4P";"J4, J5, J7";"6410/22-27-2041";"";
"1";"";"6410-5P";"6410-5P";"J3";"6410/22-27-2051";"";
"4";"";"BOHR3,5";"BOHR3,5";"DRL1, DRL2, DRL3, DRL4";"";"";
"1";"";"MAX-232";"DIL-16";"IC2";"";"";
"1";"";"PINHD-1X3";"1X03";"J8";"";"";
"1";"";"PINHD-1X6";"1X06";"J6";"";"";
"1";"0031.8211";"0031.8211";"0031.8211";"F1";"";"";
"1";"1,5KE12A";"1,5KE12A";"DO-201";"D1";"";"";
"2";"100n";"CAP01";"C-2,5";"C1, C2";"";"";
"1";"10k";"RES04";"R-10";"R1";"";"";
"1";"1N4007";"1N4007";"DO-41";"D3";"";"";
"1";"1N4148";"1N4148";"DO-35";"D2";"";"";
"5";"1u";"CAP02";"C-5";"C3, C5, C6, C7, C8";"";"";
"1";"27k";"RES04";"R-10";"R3";"";"";
"1";"33R";"RES04";"R-10";"R2";"";"";
"2";"470u/25V";"C08/3,5";"C08/3,5";"C9, C10";"";"";
"1";"47u/50V";"C07/2,5";"C07/2,5";"C4";"";"";
"1";"BC547B";"BC547B";"TO92";"Q1";"NPN Transistor";"";
"2";"COMBI-3X2P";"COMBI-3X2P";"COMBI-3X2";"JP1, JP2";"";"";
"1";"DB09F_90°";"DS09F-H-CL";"DS09F-H";"J2";"";"";
"1";"FCR681465P";"FCR681465P";"FCR681465P";"J1";"";"";
"2";"H4988";"H4988";"H4988";"M2, M3";"";"";
"1";"OPEN_SOURCE_HW";"OPEN_SOURCE_HW";"OPENHW";"U$2";"";"";
"1";"PRO_MICRO";"PRO_MICRO";"PRO_MICRO";"M1";"";"";
"1";"RMP-14P/HT";"RMP-14P/HT";"RMP-14P/HT";"SPK1";"";"";
"1";"TSR2-2450";"TSR2";"TSR2";"IC1";"";"";
